INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-06-01T12:00:00-00:00,2017-06-01T13:00:00-00:00,2017-06-01,6,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,34.67685,1
2017-06-01T10:00:00-00:00,2017-06-01T11:00:00-00:00,2017-06-01,4,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,15.19089,1
2017-06-01T09:00:00-00:00,2017-06-01T10:00:00-00:00,2017-06-01,3,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,14.86056,1
2017-06-01T08:00:00-00:00,2017-06-01T09:00:00-00:00,2017-06-01,2,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,18.45518,1
2017-06-02T01:00:00-00:00,2017-06-02T02:00:00-00:00,2017-06-01,19,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,42.07004,1
2017-06-02T00:00:00-00:00,2017-06-02T01:00:00-00:00,2017-06-01,18,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,26.90499,1
2017-06-01T15:00:00-00:00,2017-06-01T16:00:00-00:00,2017-06-01,9,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,21.84217,1
2017-06-02T06:00:00-00:00,2017-06-02T07:00:00-00:00,2017-06-01,24,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,28.63681,1
2017-06-02T03:00:00-00:00,2017-06-02T04:00:00-00:00,2017-06-01,21,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,50.0506,1
2017-06-01T20:00:00-00:00,2017-06-01T21:00:00-00:00,2017-06-01,14,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,19.6743,1
2017-06-01T16:00:00-00:00,2017-06-01T17:00:00-00:00,2017-06-01,10,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,20.75376,1
2017-06-02T04:00:00-00:00,2017-06-02T05:00:00-00:00,2017-06-01,22,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,38.21962,1
2017-06-01T23:00:00-00:00,2017-06-02T00:00:00-00:00,2017-06-01,17,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,25.51079,1
2017-06-01T17:00:00-00:00,2017-06-01T18:00:00-00:00,2017-06-01,11,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,20.26162,1
2017-06-02T05:00:00-00:00,2017-06-02T06:00:00-00:00,2017-06-01,23,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,33.65351,1
2017-06-02T02:00:00-00:00,2017-06-02T03:00:00-00:00,2017-06-01,20,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,41.65374,1
2017-06-01T19:00:00-00:00,2017-06-01T20:00:00-00:00,2017-06-01,13,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,17.06774,1
2017-06-01T21:00:00-00:00,2017-06-01T22:00:00-00:00,2017-06-01,15,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,22.40051,1
2017-06-01T13:00:00-00:00,2017-06-01T14:00:00-00:00,2017-06-01,7,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,38.09373,1
2017-06-01T11:00:00-00:00,2017-06-01T12:00:00-00:00,2017-06-01,5,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,19.72515,1
