INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-01-01T12:00:00-00:00,2017-01-01T13:00:00-00:00,2017-01-01,5,0,EUREKA_6_N001,EUREKA_6_N001,EUREKA_6_N001,DAM,LMP,LMP_PRC,EUREKA_6_N001,ALL,1,34.4221,1
2017-01-01T19:00:00-00:00,2017-01-01T20:00:00-00:00,2017-01-01,12,0,EUREKA_6_N001,EUREKA_6_N001,EUREKA_6_N001,DAM,LMP,LMP_PRC,EUREKA_6_N001,ALL,1,28.29704,1
2017-01-01T23:00:00-00:00,2017-01-02T00:00:00-00:00,2017-01-01,16,0,EUREKA_6_N001,EUREKA_6_N001,EUREKA_6_N001,DAM,LMP,LMP_PRC,EUREKA_6_N001,ALL,1,29.61028,1
2017-01-01T18:00:00-00:00,2017-01-01T19:00:00-00:00,2017-01-01,11,0,EUREKA_6_N001,EUREKA_6_N001,EUREKA_6_N001,DAM,LMP,LMP_PRC,EUREKA_6_N001,ALL,1,30.20247,1
2017-01-01T21:00:00-00:00,2017-01-01T22:00:00-00:00,2017-01-01,14,0,EUREKA_6_N001,EUREKA_6_N001,EUREKA_6_N001,DAM,LMP,LMP_PRC,EUREKA_6_N001,ALL,1,26.25592,1
2017-01-02T05:00:00-00:00,2017-01-02T06:00:00-00:00,2017-01-01,22,0,EUREKA_6_N001,EUREKA_6_N001,EUREKA_6_N001,DAM,LMP,LMP_PRC,EUREKA_6_N001,ALL,1,51.97688,1
2017-01-01T20:00:00-00:00,2017-01-01T21:00:00-00:00,2017-01-01,13,0,EUREKA_6_N001,EUREKA_6_N001,EUREKA_6_N001,DAM,LMP,LMP_PRC,EUREKA_6_N001,ALL,1,27.18794,1
2017-01-02T06:00:00-00:00,2017-01-02T07:00:00-00:00,2017-01-01,23,0,EUREKA_6_N001,EUREKA_6_N001,EUREKA_6_N001,DAM,LMP,LMP_PRC,EUREKA_6_N001,ALL,1,40.63098,1
2017-01-01T10:00:00-00:00,2017-01-01T11:00:00-00:00,2017-01-01,3,0,EUREKA_6_N001,EUREKA_6_N001,EUREKA_6_N001,DAM,LMP,LMP_PRC,EUREKA_6_N001,ALL,1,34.74442,1
2017-01-01T14:00:00-00:00,2017-01-01T15:00:00-00:00,2017-01-01,7,0,EUREKA_6_N001,EUREKA_6_N001,EUREKA_6_N001,DAM,LMP,LMP_PRC,EUREKA_6_N001,ALL,1,37.7516,1
2017-01-01T13:00:00-00:00,2017-01-01T14:00:00-00:00,2017-01-01,6,0,EUREKA_6_N001,EUREKA_6_N001,EUREKA_6_N001,DAM,LMP,LMP_PRC,EUREKA_6_N001,ALL,1,37.07239,1
2017-01-01T17:00:00-00:00,2017-01-01T18:00:00-00:00,2017-01-01,10,0,EUREKA_6_N001,EUREKA_6_N001,EUREKA_6_N001,DAM,LMP,LMP_PRC,EUREKA_6_N001,ALL,1,32.95896,1
2017-01-01T11:00:00-00:00,2017-01-01T12:00:00-00:00,2017-01-01,4,0,EUREKA_6_N001,EUREKA_6_N001,EUREKA_6_N001,DAM,LMP,LMP_PRC,EUREKA_6_N001,ALL,1,34.68304,1
2017-01-02T07:00:00-00:00,2017-01-02T08:00:00-00:00,2017-01-01,24,0,EUREKA_6_N001,EUREKA_6_N001,EUREKA_6_N001,DAM,LMP,LMP_PRC,EUREKA_6_N001,ALL,1,38.19693,1
2017-01-02T01:00:00-00:00,2017-01-02T02:00:00-00:00,2017-01-01,18,0,EUREKA_6_N001,EUREKA_6_N001,EUREKA_6_N001,DAM,LMP,LMP_PRC,EUREKA_6_N001,ALL,1,53.82327,1
2017-01-01T09:00:00-00:00,2017-01-01T10:00:00-00:00,2017-01-01,2,0,EUREKA_6_N001,EUREKA_6_N001,EUREKA_6_N001,DAM,LMP,LMP_PRC,EUREKA_6_N001,ALL,1,35.18731,1
2017-01-01T22:00:00-00:00,2017-01-01T23:00:00-00:00,2017-01-01,15,0,EUREKA_6_N001,EUREKA_6_N001,EUREKA_6_N001,DAM,LMP,LMP_PRC,EUREKA_6_N001,ALL,1,24.51116,1
2017-01-02T04:00:00-00:00,2017-01-02T05:00:00-00:00,2017-01-01,21,0,EUREKA_6_N001,EUREKA_6_N001,EUREKA_6_N001,DAM,LMP,LMP_PRC,EUREKA_6_N001,ALL,1,46.96018,1
2017-01-01T15:00:00-00:00,2017-01-01T16:00:00-00:00,2017-01-01,8,0,EUREKA_6_N001,EUREKA_6_N001,EUREKA_6_N001,DAM,LMP,LMP_PRC,EUREKA_6_N001,ALL,1,39.0784,1
2017-01-01T16:00:00-00:00,2017-01-01T17:00:00-00:00,2017-01-01,9,0,EUREKA_6_N001,EUREKA_6_N001,EUREKA_6_N001,DAM,LMP,LMP_PRC,EUREKA_6_N001,ALL,1,34.75186,1
2017-01-02T03:00:00-00:00,2017-01-02T04:00:00-00:00,2017-01-01,20,0,EUREKA_6_N001,EUREKA_6_N001,EUREKA_6_N001,DAM,LMP,LMP_PRC,EUREKA_6_N001,ALL,1,51.60563,1
2017-01-01T08:00:00-00:00,2017-01-01T09:00:00-00:00,2017-01-01,1,0,EUREKA_6_N001,EUREKA_6_N001,EUREKA_6_N001,DAM,LMP,LMP_PRC,EUREKA_6_N001,ALL,1,35.60031,1
