INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-05-01T18:00:00-00:00,2017-05-01T19:00:00-00:00,2017-05-01,12,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,20.09506,1
2017-05-01T15:00:00-00:00,2017-05-01T16:00:00-00:00,2017-05-01,9,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,28.26487,1
2017-05-02T00:00:00-00:00,2017-05-02T01:00:00-00:00,2017-05-01,18,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,36.56691,1
2017-05-01T21:00:00-00:00,2017-05-01T22:00:00-00:00,2017-05-01,15,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,36.49752,1
2017-05-02T05:00:00-00:00,2017-05-02T06:00:00-00:00,2017-05-01,23,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,39.92963,1
2017-05-01T11:00:00-00:00,2017-05-01T12:00:00-00:00,2017-05-01,5,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,28.54979,1
2017-05-01T07:00:00-00:00,2017-05-01T08:00:00-00:00,2017-05-01,1,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,30.16303,1
2017-05-01T23:00:00-00:00,2017-05-02T00:00:00-00:00,2017-05-01,17,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,33.97076,1
2017-05-01T12:00:00-00:00,2017-05-01T13:00:00-00:00,2017-05-01,6,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,41.63619,1
2017-05-01T19:00:00-00:00,2017-05-01T20:00:00-00:00,2017-05-01,13,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,21.19484,1
2017-05-01T13:00:00-00:00,2017-05-01T14:00:00-00:00,2017-05-01,7,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,54.4029,1
2017-05-01T08:00:00-00:00,2017-05-01T09:00:00-00:00,2017-05-01,2,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,27.59442,1
2017-05-02T03:00:00-00:00,2017-05-02T04:00:00-00:00,2017-05-01,21,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,58.64135,1
2017-05-02T01:00:00-00:00,2017-05-02T02:00:00-00:00,2017-05-01,19,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,51.2364,1
2017-05-01T16:00:00-00:00,2017-05-01T17:00:00-00:00,2017-05-01,10,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,33.10711,1
2017-05-02T04:00:00-00:00,2017-05-02T05:00:00-00:00,2017-05-01,22,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,50.00255,1
2017-05-01T10:00:00-00:00,2017-05-01T11:00:00-00:00,2017-05-01,4,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,19.63599,1
2017-05-01T09:00:00-00:00,2017-05-01T10:00:00-00:00,2017-05-01,3,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,13.67873,1
2017-05-01T20:00:00-00:00,2017-05-01T21:00:00-00:00,2017-05-01,14,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,33.75762,1
2017-05-01T17:00:00-00:00,2017-05-01T18:00:00-00:00,2017-05-01,11,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,33.08701,1
2017-05-02T06:00:00-00:00,2017-05-02T07:00:00-00:00,2017-05-01,24,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,34.81828,1
2017-05-01T22:00:00-00:00,2017-05-01T23:00:00-00:00,2017-05-01,16,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,36.48208,1
2017-05-02T02:00:00-00:00,2017-05-02T03:00:00-00:00,2017-05-01,20,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,67.22592,1
2017-05-01T14:00:00-00:00,2017-05-01T15:00:00-00:00,2017-05-01,8,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,41.88337,1
2017-05-02T04:00:00-00:00,2017-05-02T05:00:00-00:00,2017-05-01,22,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,MCC,LMP_CONG_PRC,EUREKAA_6_N001,ALL,1,-5.46676,2
2017-05-02T00:00:00-00:00,2017-05-02T01:00:00-00:00,2017-05-01,18,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,MCC,LMP_CONG_PRC,EUREKAA_6_N001,ALL,1,0.19842,2
2017-05-02T02:00:00-00:00,2017-05-02T03:00:00-00:00,2017-05-01,20,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,MCC,LMP_CONG_PRC,EUREKAA_6_N001,ALL,1,0,2
2017-05-01T12:00:00-00:00,2017-05-01T13:00:00-00:00,2017-05-01,6,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,MCC,LMP_CONG_PRC,EUREKAA_6_N001,ALL,1,0,2
