INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-10-01T08:00:00-00:00,2017-10-01T09:00:00-00:00,2017-10-01,2,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,56.59896,1
2017-10-02T06:00:00-00:00,2017-10-02T07:00:00-00:00,2017-10-01,24,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,36.84016,1
2017-10-01T10:00:00-00:00,2017-10-01T11:00:00-00:00,2017-10-01,4,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,40.11222,1
2017-10-01T09:00:00-00:00,2017-10-01T10:00:00-00:00,2017-10-01,3,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,47.6247,1
2017-10-01T19:00:00-00:00,2017-10-01T20:00:00-00:00,2017-10-01,13,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,12.45463,1
2017-10-01T14:00:00-00:00,2017-10-01T15:00:00-00:00,2017-10-01,8,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,30.68188,1
2017-10-02T04:00:00-00:00,2017-10-02T05:00:00-00:00,2017-10-01,22,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,44.6,1
2017-10-02T03:00:00-00:00,2017-10-02T04:00:00-00:00,2017-10-01,21,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,48.77112,1
2017-10-01T13:00:00-00:00,2017-10-01T14:00:00-00:00,2017-10-01,7,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,46.22934,1
2017-10-01T12:00:00-00:00,2017-10-01T13:00:00-00:00,2017-10-01,6,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,36.62774,1
2017-10-02T00:00:00-00:00,2017-10-02T01:00:00-00:00,2017-10-01,18,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,38.90651,1
2017-10-01T20:00:00-00:00,2017-10-01T21:00:00-00:00,2017-10-01,14,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,18.33837,1
2017-10-01T18:00:00-00:00,2017-10-01T19:00:00-00:00,2017-10-01,12,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,6.57917,1
