INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-02-01T16:00:00-00:00,2017-02-01T17:00:00-00:00,2017-02-01,9,0,EUREKA_6_N001,EUREKA_6_N001,EUREKA_6_N001,DAM,LMP,LMP_PRC,EUREKA_6_N001,ALL,1,46.44232,1
2017-02-01T18:00:00-00:00,2017-02-01T19:00:00-00:00,2017-02-01,11,0,EUREKA_6_N001,EUREKA_6_N001,EUREKA_6_N001,DAM,LMP,LMP_PRC,EUREKA_6_N001,ALL,1,38.41991,1
2017-02-01T21:00:00-00:00,2017-02-01T22:00:00-00:00,2017-02-01,14,0,EUREKA_6_N001,EUREKA_6_N001,EUREKA_6_N001,DAM,LMP,LMP_PRC,EUREKA_6_N001,ALL,1,29.10428,1
2017-02-01T22:00:00-00:00,2017-02-01T23:00:00-00:00,2017-02-01,15,0,EUREKA_6_N001,EUREKA_6_N001,EUREKA_6_N001,DAM,LMP,LMP_PRC,EUREKA_6_N001,ALL,1,25.33326,1
2017-02-01T13:00:00-00:00,2017-02-01T14:00:00-00:00,2017-02-01,6,0,EUREKA_6_N001,EUREKA_6_N001,EUREKA_6_N001,DAM,LMP,LMP_PRC,EUREKA_6_N001,ALL,1,49.26431,1
2017-02-01T19:00:00-00:00,2017-02-01T20:00:00-00:00,2017-02-01,12,0,EUREKA_6_N001,EUREKA_6_N001,EUREKA_6_N001,DAM,LMP,LMP_PRC,EUREKA_6_N001,ALL,1,36.96801,1
2017-02-01T08:00:00-00:00,2017-02-01T09:00:00-00:00,2017-02-01,1,0,EUREKA_6_N001,EUREKA_6_N001,EUREKA_6_N001,DAM,LMP,LMP_PRC,EUREKA_6_N001,ALL,1,34.67326,1
2017-02-02T03:00:00-00:00,2017-02-02T04:00:00-00:00,2017-02-01,20,0,EUREKA_6_N001,EUREKA_6_N001,EUREKA_6_N001,DAM,LMP,LMP_PRC,EUREKA_6_N001,ALL,1,47.36694,1
2017-02-01T23:00:00-00:00,2017-02-02T00:00:00-00:00,2017-02-01,16,0,EUREKA_6_N001,EUREKA_6_N001,EUREKA_6_N001,DAM,LMP,LMP_PRC,EUREKA_6_N001,ALL,1,33.83595,1
2017-02-02T07:00:00-00:00,2017-02-02T08:00:00-00:00,2017-02-01,24,0,EUREKA_6_N001,EUREKA_6_N001,EUREKA_6_N001,DAM,LMP,LMP_PRC,EUREKA_6_N001,ALL,1,36.96912,1
2017-02-01T20:00:00-00:00,2017-02-01T21:00:00-00:00,2017-02-01,13,0,EUREKA_6_N001,EUREKA_6_N001,EUREKA_6_N001,DAM,LMP,LMP_PRC,EUREKA_6_N001,ALL,1,27.72712,1
2017-02-02T00:00:00-00:00,2017-02-02T01:00:00-00:00,2017-02-01,17,0,EUREKA_6_N001,EUREKA_6_N001,EUREKA_6_N001,DAM,LMP,LMP_PRC,EUREKA_6_N001,ALL,1,48.12362,1
2017-02-01T09:00:00-00:00,2017-02-01T10:00:00-00:00,2017-02-01,2,0,EUREKA_6_N001,EUREKA_6_N001,EUREKA_6_N001,DAM,LMP,LMP_PRC,EUREKA_6_N001,ALL,1,40.87756,1
2017-02-01T12:00:00-00:00,2017-02-01T13:00:00-00:00,2017-02-01,5,0,EUREKA_6_N001,EUREKA_6_N001,EUREKA_6_N001,DAM,LMP,LMP_PRC,EUREKA_6_N001,ALL,1,35.27135,1
2017-02-01T15:00:00-00:00,2017-02-01T16:00:00-00:00,2017-02-01,8,0,EUREKA_6_N001,EUREKA_6_N001,EUREKA_6_N001,DAM,LMP,LMP_PRC,EUREKA_6_N001,ALL,1,55.85341,1
2017-02-02T04:00:00-00:00,2017-02-02T05:00:00-00:00,2017-02-01,21,0,EUREKA_6_N001,EUREKA_6_N001,EUREKA_6_N001,DAM,LMP,LMP_PRC,EUREKA_6_N001,ALL,1,45.26566,1
2017-02-01T11:00:00-00:00,2017-02-01T12:00:00-00:00,2017-02-01,4,0,EUREKA_6_N001,EUREKA_6_N001,EUREKA_6_N001,DAM,LMP,LMP_PRC,EUREKA_6_N001,ALL,1,52.98318,1
