INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-11-01T08:00:00-00:00,2017-11-01T09:00:00-00:00,2017-11-01,2,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,28.99852,1
2017-11-02T03:00:00-00:00,2017-11-02T04:00:00-00:00,2017-11-01,21,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,46.25956,1
2017-11-02T04:00:00-00:00,2017-11-02T05:00:00-00:00,2017-11-01,22,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,40.69154,1
2017-11-01T14:00:00-00:00,2017-11-01T15:00:00-00:00,2017-11-01,8,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,62.15728,1
2017-11-01T12:00:00-00:00,2017-11-01T13:00:00-00:00,2017-11-01,6,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,36.54169,1
2017-11-01T16:00:00-00:00,2017-11-01T17:00:00-00:00,2017-11-01,10,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,36.73037,1
2017-11-02T01:00:00-00:00,2017-11-02T02:00:00-00:00,2017-11-01,19,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,71.68733,1
2017-11-01T10:00:00-00:00,2017-11-01T11:00:00-00:00,2017-11-01,4,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,29.68203,1
2017-11-02T00:00:00-00:00,2017-11-02T01:00:00-00:00,2017-11-01,18,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,47.4761,1
2017-11-01T22:00:00-00:00,2017-11-01T23:00:00-00:00,2017-11-01,16,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,30.93878,1
2017-11-02T02:00:00-00:00,2017-11-02T03:00:00-00:00,2017-11-01,20,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,53.57641,1
2017-11-01T07:00:00-00:00,2017-11-01T08:00:00-00:00,2017-11-01,1,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,31.69615,1
2017-11-01T23:00:00-00:00,2017-11-02T00:00:00-00:00,2017-11-01,17,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,36.60274,1
2017-11-01T21:00:00-00:00,2017-11-01T22:00:00-00:00,2017-11-01,15,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,27.234,1
2017-11-01T19:00:00-00:00,2017-11-01T20:00:00-00:00,2017-11-01,13,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,27.7596,1
2017-11-02T05:00:00-00:00,2017-11-02T06:00:00-00:00,2017-11-01,23,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,37.69272,1
2017-11-01T11:00:00-00:00,2017-11-01T12:00:00-00:00,2017-11-01,5,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,30.55182,1
2017-11-01T13:00:00-00:00,2017-11-01T14:00:00-00:00,2017-11-01,7,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,43.58688,1
2017-11-01T09:00:00-00:00,2017-11-01T10:00:00-00:00,2017-11-01,3,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,27.30211,1
2017-11-01T20:00:00-00:00,2017-11-01T21:00:00-00:00,2017-11-01,14,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,27.89412,1
2017-11-01T18:00:00-00:00,2017-11-01T19:00:00-00:00,2017-11-01,12,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,28.89937,1
2017-11-01T15:00:00-00:00,2017-11-01T16:00:00-00:00,2017-11-01,9,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,44.9792,1
2017-11-02T06:00:00-00:00,2017-11-02T07:00:00-00:00,2017-11-01,24,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,34.34562,1
2017-11-01T17:00:00-00:00,2017-11-01T18:00:00-00:00,2017-11-01,11,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,29.91239,1
2017-11-02T00:00:00-00:00,2017-11-02T01:00:00-00:00,2017-11-01,18,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,MCC,LMP_CONG_PRC,EUREKAA_6_N001,ALL,1,0,2
2017-11-01T23:00:00-00:00,2017-11-02T00:00:00-00:00,2017-11-01,17,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,MCC,LMP_CONG_PRC,EUREKAA_6_N001,ALL,1,2.80669,2
2017-11-02T05:00:00-00:00,2017-11-02T06:00:00-00:00,2017-11-01,23,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,MCC,LMP_CONG_PRC,EUREKAA_6_N001,ALL,1,0,2
2017-11-02T04:00:00-00:00,2017-11-02T05:00:00-00:00,2017-11-01,22,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,MCC,LMP_CONG_PRC,EUREKAA_6_N001,ALL,1,0,2
2017-11-02T02:00:00-00:00,2017-11-02T03:00:00-00:00,2017-11-01,20,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,MCC,LMP_CONG_PRC,EUREKAA_6_N001,ALL,1,0,2
2017-11-01T20:00:00-00:00,2017-11-01T21:00:00-00:00,2017-11-01,14,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,MCC,LMP_CONG_PRC,EUREKAA_6_N001,ALL,1,-2.13953,2
2017-11-01T08:00:00-00:00,2017-11-01T09:00:00-00:00,2017-11-01,2,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,MCC,LMP_CONG_PRC,EUREKAA_6_N001,ALL,1,0,2
2017-11-01T19:00:00-00:00,2017-11-01T20:00:00-00:00,2017-11-01,13,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,MCC,LMP_CONG_PRC,EUREKAA_6_N001,ALL,1,-2.47207,2
2017-11-01T12:00:00-00:00,2017-11-01T13:00:00-00:00,2017-11-01,6,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,MCC,LMP_CONG_PRC,EUREKAA_6_N001,ALL,1,0,2
2017-11-01T13:00:00-00:00,2017-11-01T14:00:00-00:00,2017-11-01,7,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,MCC,LMP_CONG_PRC,EUREKAA_6_N001,ALL,1,0,2
2017-11-01T18:00:00-00:00,2017-11-01T19:00:00-00:00,2017-11-01,12,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,MCC,LMP_CONG_PRC,EUREKAA_6_N001,ALL,1,-2.56589,2
2017-11-01T10:00:00-00:00,2017-11-01T11:00:00-00:00,2017-11-01,4,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,MCC,LMP_CONG_PRC,EUREKAA_6_N001,ALL,1,0,2
