INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2017-08-02T01:00:00-00:00,2017-08-02T02:00:00-00:00,2017-08-01,19,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,336.58272,1
2017-08-01T10:00:00-00:00,2017-08-01T11:00:00-00:00,2017-08-01,4,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,32.86287,1
2017-08-01T14:00:00-00:00,2017-08-01T15:00:00-00:00,2017-08-01,8,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,45.9079,1
2017-08-01T17:00:00-00:00,2017-08-01T18:00:00-00:00,2017-08-01,11,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,38.36869,1
2017-08-01T19:00:00-00:00,2017-08-01T20:00:00-00:00,2017-08-01,13,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,45.97013,1
2017-08-01T11:00:00-00:00,2017-08-01T12:00:00-00:00,2017-08-01,5,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,34.14032,1
2017-08-01T13:00:00-00:00,2017-08-01T14:00:00-00:00,2017-08-01,7,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,50.22666,1
2017-08-01T16:00:00-00:00,2017-08-01T17:00:00-00:00,2017-08-01,10,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,50.20533,1
2017-08-02T02:00:00-00:00,2017-08-02T03:00:00-00:00,2017-08-01,20,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,325.70228,1
2017-08-01T12:00:00-00:00,2017-08-01T13:00:00-00:00,2017-08-01,6,0,EUREKAA_6_N001,EUREKAA_6_N001,EUREKAA_6_N001,DAM,LMP,LMP_PRC,EUREKAA_6_N001,ALL,1,35.98698,1
